rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
S9P8MT7D8KG5ZA9B.JRTCKXETXF.6YS6EN2CT7,4.0800000000,US East (Ohio),Compute optimized,96,c5.metal,192 GiB,EBS only,25 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
SEHV9G9QTQCUBWUA.JRTCKXETXF.6YS6EN2CT7,11.9040000000,US East (Ohio),Memory optimized,128,r7iz.32xlarge,1024 GiB,EBS only,50000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
SEMV77DSB4WM675R.JRTCKXETXF.6YS6EN2CT7,0.0052000000,US East (Ohio),General purpose,2,t3.nano,0.5 GiB,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
SF5DE6CG3JJC4T33.JRTCKXETXF.6YS6EN2CT7,13.3440000000,US East (Ohio),Memory optimized,64,x1e.16xlarge,1952 GiB,1 x 1920 SSD,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
S932RC7TT4XJT6CM.JRTCKXETXF.6YS6EN2CT7,4.1280000000,US East (Ohio),Compute optimized,96,c5ad.24xlarge,192 GiB,2 x 1900 NVMe SSD,20 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
SAAY6F3PMZQGTKU3.JRTCKXETXF.6YS6EN2CT7,6.0480000000,US East (Ohio),Memory optimized,96,r5.metal,768 GiB,EBS only,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
SBZ8KRV7W8QGA6U6.JRTCKXETXF.6YS6EN2CT7,5.7000000000,US East (Ohio),Compute optimized,64,hpc6id.32xlarge,1024 GiB,4 x 3800 NVMe SSD,200 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
SCBUFWU4SS9QAGAM.JRTCKXETXF.6YS6EN2CT7,3.8188800000,US East (Ohio),General purpose,48,m6idn.12xlarge,192 GiB,2 x 1425 NVMe SSD,75000 Megabit,Linux,General Purpose,Linux,NA,No License required
SDQK54UK2HRQTUXV.JRTCKXETXF.6YS6EN2CT7,0.9040000000,US East (Ohio),Memory optimized,16,r5a.4xlarge,128 GiB,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
Q9U6XESRG6MJHQHV.JRTCKXETXF.6YS6EN2CT7,0.9040000000,US East (Ohio),Storage optimized,8,i3en.2xlarge,64 GiB,2 x 2500 NVMe SSD,Up to 25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
QB9ZBCXWS8BWQNGW.JRTCKXETXF.6YS6EN2CT7,0.6144000000,US East (Ohio),Compute optimized,16,c6gd.4xlarge,32 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
RA6VBGEB2K8XKAMS.JRTCKXETXF.6YS6EN2CT7,0.8211200000,US East (Ohio),Compute optimized,16,c7a.4xlarge,32 GiB,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
RCCUWCKFHYJW8JPF.JRTCKXETXF.6YS6EN2CT7,0.3024000000,US East (Ohio),Memory optimized,4,r6id.xlarge,32 GiB,1 x 237 NVMe SSD,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
QA9BJFEXJ4ZGQRGY.JRTCKXETXF.6YS6EN2CT7,54.6000000000,US East (Ohio),Memory optimized,448,u-6tb1.112xlarge,6144 GiB,EBS only,100 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
QBVZBM8HYJ6HUE88.JRTCKXETXF.6YS6EN2CT7,11.1571200000,US East (Ohio),Memory optimized,128,r6in.32xlarge,1024 GiB,EBS only,200000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
RQ5MTXDCVMC97PG6.JRTCKXETXF.6YS6EN2CT7,2.0160000000,US East (Ohio),Memory optimized,32,r5.8xlarge,256 GiB,EBS only,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
RRENKNMKHKB4WTDN.JRTCKXETXF.6YS6EN2CT7,3.9641000000,US East (Ohio),General purpose,48,m5zn.metal,192 GiB,EBS only,100 Gigabit,Linux,General Purpose,Linux,NA,No License required
QFHJZ3AXQDA2YJFF.JRTCKXETXF.6YS6EN2CT7,1.0880000000,US East (Ohio),General purpose,16,m5dn.4xlarge,64 GiB,2 x 300 NVMe SSD,Up to 25 Gigabit,Linux,General Purpose,Linux,NA,No License required
S7XG88DG882ZUEMP.JRTCKXETXF.6YS6EN2CT7,1.3824000000,US East (Ohio),General purpose,32,m6a.8xlarge,128 GiB,EBS only,12500 Megabit,Linux,General Purpose,Linux,NA,No License required
QJJBPJ9V7NRBK5J9.JRTCKXETXF.6YS6EN2CT7,0.2881500000,US East (Ohio),Storage optimized,2,is4gen.large,12 GiB,1 x 1875 SSD,Up to 25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
NVPBFSTB7Q5WP4X5.JRTCKXETXF.6YS6EN2CT7,4.6080000000,US East (Ohio),General purpose,96,m5.metal,384 GiB,EBS only,25 Gigabit,Linux,General Purpose,Linux,NA,No License required
RGU9HRNUAS2TX83W.JRTCKXETXF.6YS6EN2CT7,0.7960000000,US East (Ohio),Compute optimized,16,c4.4xlarge,30 GiB,EBS only,High,Linux,Compute Optimized,Linux,NA,No License required
RHW8EAZNVJA4KSWC.JRTCKXETXF.6YS6EN2CT7,0.4000000000,US East (Ohio),General purpose,8,m4.2xlarge,32 GiB,EBS only,High,Linux,General Purpose,Linux,NA,No License required
RCFYPHT7DPK2JUTD.JRTCKXETXF.6YS6EN2CT7,10.9824000000,US East (Ohio),Storage optimized,128,i4i.32xlarge,1024 GiB,8 x 3750 SSD,75000 Megabit,Linux,Storage Optimized,Linux,NA,No License required
NZX5U28B8SUFVNUN.JRTCKXETXF.6YS6EN2CT7,0.3328000000,US East (Ohio),General purpose,8,t3.2xlarge,32 GiB,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
P8CW74Q7M4DJF2KP.JRTCKXETXF.6YS6EN2CT7,1.4551700000,US East (Ohio),Storage optimized,16,im4gn.4xlarge,64 GiB,1 x 7500 SSD,25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
PBQY8X4GF6DXFSB7.JRTCKXETXF.6YS6EN2CT7,7.3440000000,US East (Ohio),Compute optimized,192,c6a.metal,384 GiB,EBS only,50000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
SVQWW9JRCF3MPR9R.JRTCKXETXF.6YS6EN2CT7,0.1030000000,US East (Ohio),General purpose,2,m5ad.large,8 GiB,1 x 75 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
SWW7X4E26NRCGRTZ.JRTCKXETXF.6YS6EN2CT7,0.8670000000,US East (Ohio),GPU instance,16,g4ad.4xlarge,64 GiB,600 GB NVMe SSD,Up to 10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
SYTAHBCAYN2JEU8B.JRTCKXETXF.6YS6EN2CT7,0.1544400000,US East (Ohio),Storage optimized,2,i4g.large,16 GiB,1 x 468 SSD,Up to 10 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
PDR82UWYZ53WE283.JRTCKXETXF.6YS6EN2CT7,0.8336300000,US East (Ohio),Memory optimized,4,x2iedn.xlarge,128 GiB,1 x 118 NVMe SSD,Up to 25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
PEP6HDERV9Y38MU2.JRTCKXETXF.6YS6EN2CT7,0.0454000000,US East (Ohio),Compute optimized,1,c7gd.medium,2 GiB,1 x 59 NVMe SSD,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
T54WSMXQE5PWCK2Y.JRTCKXETXF.6YS6EN2CT7,6.2880000000,US East (Ohio),Memory optimized,96,r5ad.24xlarge,768 GiB,4 x 900 NVMe SSD,20 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
PFKA9SKBMRMAEMWR.JRTCKXETXF.6YS6EN2CT7,2.7216000000,US East (Ohio),Compute optimized,48,c6in.12xlarge,96 GiB,EBS only,75000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
Q236HUQXMUFFR9AN.JRTCKXETXF.6YS6EN2CT7,0.1000000000,US East (Ohio),General purpose,2,m4.large,8 GiB,EBS only,Moderate,Linux,General Purpose,Linux,NA,No License required
Q2VNHJPJBFJWQJZN.JRTCKXETXF.6YS6EN2CT7,1.8432000000,US East (Ohio),Compute optimized,48,c6gd.12xlarge,96 GiB,2 x 1425 NVMe SSD,20 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
Q36TFZ68SKEZANJ2.JRTCKXETXF.6YS6EN2CT7,1.6480000000,US East (Ohio),General purpose,32,m5ad.8xlarge,128 GiB,2 x 600 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
T69XD9BXQWFTCUWQ.JRTCKXETXF.6YS6EN2CT7,1.9980000000,US East (Ohio),Storage optimized,16,d3.4xlarge,128 GiB,12 x 2000 HDD,Up to 15 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
T74XMWDFWAHEZK2U.JRTCKXETXF.6YS6EN2CT7,2.7200000000,US East (Ohio),Compute optimized,64,c6i.16xlarge,128 GiB,EBS only,25000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
Q4X2B378EJXVN5M4.JRTCKXETXF.6YS6EN2CT7,1.2320000000,US East (Ohio),General purpose,32,m6g.8xlarge,128 GiB,EBS only,12 Gigabit,Linux,General Purpose,Linux,NA,No License required
PW85GY59RMU8XUS4.JRTCKXETXF.6YS6EN2CT7,8.2368000000,US East (Ohio),Storage optimized,96,i4i.24xlarge,768 GiB,6 x 3750 NVMe SSD,56250 Megabit,Linux,Storage Optimized,Linux,NA,No License required
U29WF22NSMEHC7Z5.JRTCKXETXF.6YS6EN2CT7,2.4480000000,US East (Ohio),Compute optimized,64,c6a.16xlarge,128 GiB,EBS only,25000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
Q3QWCRNMD5F4WFXK.JRTCKXETXF.6YS6EN2CT7,0.1530000000,US East (Ohio),Compute optimized,4,c6a.xlarge,8 GiB,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
U2W6CYWCQQ6UZQ65.JRTCKXETXF.6YS6EN2CT7,0.2980000000,US East (Ohio),Memory optimized,4,r5n.xlarge,32 GiB,EBS only,Up to 25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
RSSD8A7PYJV5U7WZ.JRTCKXETXF.6YS6EN2CT7,12.7008000000,US East (Ohio),Memory optimized,192,r7i.metal-48xl,1536 GiB,EBS only,50000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
